"Name","tau","sigma0","adam_epsilon","n_step","env_runners/episode_len_mean","env_runners/episode_reward_max","env_runners/episode_reward_mean","env_runners/episode_reward_min","env_runners/episode_return_max","env_runners/episode_return_min","env_runners/episode_return_mean"
"DQN_ma-lander_c96ea_00012","0.5984591043154308","0.885125745803495","0.00007905225709643937","8","2214.44","286.38998093020234","85.25454448506875","-124.85360679299067","286.38998093020234","-124.85360679299067","85.25454448506875"
"DQN_ma-lander_c96ea_00011","0.24333061916108112","0.2732349696663862","7.326580204758185e-10","1","1065.08","383.2504619864895","236.11897582532973","76.22199299730815","383.2504619864895","76.22199299730815","236.11897582532973"
"DQN_ma-lander_c96ea_00010","0.6174216410652121","0.4096784578047125","2.6371635345902567e-9","8","1848.85","372.7105401390584","173.9979480807107","-54.63294214332074","372.7105401390584","-54.63294214332074","173.9979480807107"
"DQN_ma-lander_c96ea_00009","0.6974136389482337","0.785229350756413","4.5273589940850283e-7","1","2357.95","368.2323821137792","202.37566213328347","-34.66623512372306","368.2323821137792","-34.66623512372306","202.37566213328347"
"DQN_ma-lander_c96ea_00006","0.23321724501010888","0.24874441195761576","0.0000036417337534869247","1","1223.42","382.8688274839118","184.1162989761829","40.2405467724139","382.8688274839118","40.2405467724139","184.1162989761829"
"DQN_ma-lander_c96ea_00005","0.3604698374300318","0.5751895707458972","4.9724551649112765e-9","8","1840.79","195.90972376997817","43.799393359892136","-53.47586539810862","195.90972376997817","-53.47586539810862","43.799393359892136"
"DQN_ma-lander_c96ea_00004","0.061279421040289384","0.29264032011876195","1.3148053822033264e-8","1","481.91","381.6318040565822","201.22569758820333","-14.760029496083956","381.6318040565822","-14.760029496083956","201.22569758820333"
"DQN_ma-lander_c96ea_00003","0.44599205539826614","0.7221758746351317","2.8179869668300293e-9","4","1242.03","297.938209204906","59.17286049414788","-45.19489464974899","297.938209204906","-45.19489464974899","59.17286049414788"
"DQN_ma-lander_c96ea_00002","0.7769550096032416","0.6792073253414904","7.612950264425907e-10","1","2845.49","397.04035013389097","224.3047924507904","-93.28332485574728","397.04035013389097","-93.28332485574728","224.3047924507904"
"DQN_ma-lander_c96ea_00001","0.696239012858394","0.8274433256199517","0.000006831593390610127","1","2365.81","420.2774019075193","267.63974965542076","37.370806223801715","420.2774019075193","37.370806223801715","267.63974965542076"
"DQN_ma-lander_c96ea_00000","0.16765988442400348","0.14390076492056392","3.862210560312805e-7","4","2329.8","369.41189481208767","102.05709986950222","-146.8256660647392","369.41189481208767","-146.8256660647392","102.05709986950222"
